rdf-schema#label,author_label,firstPublicationDate,lastPublicationDate,magazine_label,numberOfVolumes,publisher_label
NULL,Makoto Shinkai,2007-11-19,NULL,NULL,NULL,Media Factory
7 Billion Needles,Nobuaki_Tadano,NULL,NULL,Monthly Comic Flapper,4,Media Factory
7 Seeds,Yumi Tamura,NULL,NULL,{Betsucomi|Flowers (magazine)},30,Shogakukan
801 T.T.S. Airbats,Shimizu_Toshimitsu,2007-12-27,2008-04-19,NULL,{1|2|3},Tokuma Shoten
81diver,Yokusaru_Shibata,2006-09-07,2014-07-17,Weekly Young Jump,35,Shueisha
888 (manga),Noriko_Kuwata,NULL,2005-04-23,Comic Birz,5,{ComicsOne|Gentosha}
8 Man,{Kazumasa Hirai (author)|Masahiro_Suematsu|Kyoichi_Nanatsuki},NULL,NULL,{Weekly Shōnen Magazine|Monthly Magazine Z},{6|10},Kodansha
9th Sleep,Makoto Tateno,2004-04-05,NULL,NULL,1,{Futabasha|Libre Publishing}
A A Prime,Moto Hagio,NULL,NULL,Princess (magazine),NULL,{Shogakukan|Akita Shoten}
A-bout!,NULL,NULL,NULL,Weekly Shōnen Magazine,{5|19},Kodansha
A.D. Police: Dead End City,NULL,NULL,NULL,NULL,1,Byakuya_Shobo
A.I. Love You,Ken Akamatsu,1994-04-06,1997-08-21,Weekly Shōnen Magazine,8,{Tokyopop|Kodansha}
A.I. Revolution,Yuu_Asami,NULL,NULL,Princess (magazine),17,Akita Shoten
AKB49: Ren'ai Kinshi Jōrei,Reiji_Miyajima,NULL,NULL,Weekly Shōnen Magazine,28,Kodansha
NULL,NULL,NULL,NULL,CoroCoro Comic,1,Shogakukan
A Bride's Story,Kaoru Mori,2008-10-14,NULL,Harta_(magazine),7,Enterbrain
A Capable Man,Hinako Takanaga,2004-01-29,NULL,NULL,1,Kadokawa Shoten
A Centaur's Life,NULL,NULL,NULL,Monthly Comic Ryū,10,{Seven Seas Entertainment|Tokuma Shoten}
A Certain Magical Index,Kazuma Kamachi,{2004-04-10|2007-04-12|2011-03-10|2011-08-10|2013-02-12|2013-12-27},{2010-10-10|2013-10-12},{Dengeki Daioh|Gangan Comics},{1|2|4|12|14|24},{Square Enix|ASCII Media Works}
A Certain Scientific Railgun,Kazuma Kamachi,2007-02-25,NULL,Dengeki Daioh,10,ASCII Media Works
A Channel (manga),NULL,2012-01-27,NULL,{Manga Time Kirara Carat|Manga_Time_Kirara_Carino},6,Houbunsha
A Chef of Nobunaga,NULL,NULL,NULL,Weekly Manga Times,13,Houbunsha
A Cruel God Reigns,Moto Hagio,1993-03-19,2001-08-20,Flowers (magazine),17,Shogakukan
A Dark Rabbit Has Seven Lives,Takaya Kagami,{2008-11-25|2009-10-09|2010-02-20},{2012-07-09|2013-12-25},{Dragon Magazine (Fujimi Shobo)|Monthly Dragon Age},{3|13},Fujimi Shobo
A Devil and Her Love Song,Miyoshi_Tomori,2007-07-25,2011-05-25,Margaret (magazine),13,{Viz Media|Shueisha}
A Distant Neighborhood,Jiro Taniguchi,NULL,NULL,Big Comic,2,Shogakukan
A Drifting Life,Yoshihiro Tatsumi,2008-11-20,NULL,NULL,2,NULL
A Drunken Dream and Other Stories,Moto Hagio,NULL,NULL,NULL,1,Shogakukan
A Foreign Love Affair,Ayano Yamane,NULL,NULL,Drap_(magazine),1,Core Magazine
A Gentle Breeze in the Village,Fusako Kuramochi,NULL,NULL,NULL,14,Shueisha
A Gentleman's Kiss,Shinri_Fuwa,2005-08-25,2006-04-25,Chara (magazine),2,Tokuma Shoten
A Good Librarian Like a Good Shepherd,NULL,{2012-08-30|2013-01-30},2013-04-30,NULL,{1|2},Enterbrain
NULL,Botan_Hanayashiki,NULL,NULL,Dragon_Junior,3,Kadokawa Shoten
A Penguin's Troubles,NULL,NULL,NULL,CoroCoro Comic,15,Shogakukan
A Perfect Day for Love Letters,George Asakura,NULL,NULL,Bessatsu Friend,2,Kodansha
A Promise of Romance,Kyoko_Akitsu,NULL,NULL,NULL,1,{Digital Manga|Taiyoh_Tosho}
A Silent Voice (manga),NULL,2013-08-06,2014-11-19,Weekly Shōnen Magazine,7,Kodansha
A Simple Thinking About Blood Type,NULL,2013-01-26,NULL,NULL,5,Earth Star Entertainment
A Spirit of the Sun,Kaiji Kawaguchi,NULL,NULL,Big Comic,17,Shogakukan
A Strange and Mystifying Story,Tsuta_Suzuki,2012-11-07,NULL,NULL,7,Libre Publishing
A Town Where You Live,Kōji Seo,2008-05-28,2014-02-12,Weekly Shōnen Magazine,27,{Crunchyroll|Kodansha}
A Wind Named Amnesia,Hideyuki Kikuchi,1983-10-31,NULL,NULL,NULL,Asahi Sonorama
A Wish of my Sister,Masahiro_Itosugi,2006-06-24,NULL,Digital_Comic_AG,1,Akane Shinsha
A Zoo in Winter,Jiro Taniguchi,NULL,NULL,Big Comic Original,1,Shogakukan
Aah! Harimanada,Kei_Sadayasu,NULL,NULL,Weekly Morning,28,Kodansha
Abandon the Old in Tokyo,Yoshihiro Tatsumi,2006-08-01,NULL,{Garo (magazine)|Weekly Shōnen Magazine},1,Drawn and Quarterly
Abara,Tsutomu Nihei,NULL,NULL,Ultra Jump,2,Shueisha
NULL,Tatsuya_Hamazaki,2005-08-10,2005-12-10,NULL,2,MediaWorks (publisher)
Absolute Boyfriend,Yuu Watase,2003-03-25,2005-02-25,Shōjo Comic,6,Shogakukan
Absolute Duo,NULL,{2012-08-24|2013-04-27|2014-10-27},NULL,Monthly Comic Alive,{1|9},Media Factory
Abu-san,Shinji Mizushima,NULL,NULL,Big Comic Original,107,Shogakukan
Accel World,Reki Kawahara,{2009-02-10|2012-01-27},NULL,{Dengeki Daioh|Dengeki Bunko Magazine},{3|4|5|19},ASCII Media Works
Ace of Diamond,Yuji Terajima,NULL,NULL,Weekly Shōnen Magazine,{1|47},Kodansha
Adachi-ga Hara,Osamu Tezuka,1971-03-22,NULL,Weekly Shōnen Jump,NULL,Shueisha
Addicted to Curry,Kazuki Funatsu,NULL,2012-11-29,Weekly Young Jump,49,Shueisha
NULL,NULL,NULL,NULL,NULL,1,CoroCoro Comic
Adventure Kid,Toshio Maeda,NULL,NULL,NULL,4,Wanimagazine
Adventures of Kotetsu,NULL,NULL,NULL,NULL,9,Wanimagazine
Aesthetica of a Rogue Hero,NULL,{2010-05-01|2012-01-20},NULL,NULL,{3|11},Hobby Japan
Afghanis-tan,NULL,NULL,NULL,NULL,1,SansaiBooks
Afro Samurai,Takashi Okazaki,NULL,NULL,Nou Nou Hau,1,NULL
Afro Tanaka,NULL,NULL,2013-05-13,Big Comic Spirits,10,Shogakukan
After I Win,Kaname_Itsuki,2007-12-19,NULL,NULL,1,Houbunsha
After School Nightmare,Setona Mizushiro,NULL,NULL,Princess (magazine),10,Akita Shoten
NULL,Kōichi Tokita,NULL,NULL,Comic BomBom,3,Kodansha
NULL,Chitose_Oojima,NULL,NULL,Gundam Ace,4,Kadokawa Shoten
Afterschool Charisma,Kumiko_Suekane,2009-07-29,2014-09-25,Monthly Ikki,12,Shogakukan
Again! (manga),NULL,NULL,NULL,Weekly Shōnen Magazine,12,Kodansha
NULL,{Yukiyoshi_Oohashi|Syouji_Yonemura},NULL,NULL,NULL,3,NHK_Publishing
Age 12,NULL,NULL,NULL,Ciao (magazine),7,Shogakukan
Age Called Blue,Est em,NULL,NULL,NULL,1,NULL
Age of Adventure,Osamu Tezuka,1951-01-12,NULL,Shōnen_Shōjo_Bokeno,2,Kodansha
Ageha100%,Kozue_Takeuchi,NULL,NULL,Ribon,5,Shueisha
NULL,NULL,NULL,NULL,Comic Gum,1,Wani Books
Agharta (manga),Takaharu_Matsumoto,NULL,NULL,Ultra Jump,9,Shueisha
Ah My Buddha,{Toshinori Sogabe|Bohemian_K},{2004-03-25|2007-07-25},{2007-02-24|2009-08-22},Comic Gum,{6|7},Wani Books
Ahiru no Sora,Hinata_Takeshi,NULL,NULL,Weekly Shōnen Magazine,42,Kodansha
Aho Girl,Hiroyuki (artist),2012-11-28,NULL,Weekly Shōnen Magazine,6,Kodansha
Ai-Ren,Yutaka Tanaka,1999-06-11,2002-05-24,Young Animal,5,Hakusensha
Ai City,SYUFO,NULL,NULL,Manga Action,2,Futabasha
Ai Kora,Kazurou Inoue,NULL,NULL,Weekly Shōnen Sunday,12,Shogakukan
Ai Mai Mi,NULL,NULL,NULL,NULL,6,Takeshobo
Ai Ore!,Mayu Shinjo,{2006-06-06|2008-05-26},2010-12-24,{Shōjo Comic|Monthly Asuka},{3|5},{Shogakukan|Kadokawa Shoten}
Ai Shite Knight,Kaoru Tada,NULL,NULL,Bessatsu Margaret,7,Shueisha
NULL,Masaki Kajishima,2014-11-26,2015-10-26,Monthly Shōnen Sirius,NULL,Kodansha
Ai Yori Aoshi,Kou Fumizuki,NULL,NULL,Young Animal,17,Hakusensha
Ai no Kusabi,Rieko_Yoshihara,NULL,NULL,June (manga magazine),1,{Digital Manga|Koufuusha_Shuppan}
Ai to Makoto,Ikki Kajiwara,NULL,NULL,Weekly Shōnen Magazine,NULL,Kodansha
NULL,Akira Suzuki (director),2007-03-30,NULL,Charano!,NULL,Hobby Japan
NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,{Sunrise (company)|Bandai},2013-08-08,NULL,NULL,NULL,Shogakukan
NULL,NULL,NULL,NULL,Ciao (magazine),2,Shogakukan
NULL,NULL,NULL,NULL,NULL,NULL,Shogakukan
Aim for the Ace!,Sumika Yamamoto,NULL,NULL,Margaret (magazine),18,Shueisha
Aion (manga),Yuna Kagesaki,2008-08-10,2012-10-05,Monthly Dragon Age,11,{Tokyopop|Fujimi Shobo}
Air (visual novel),Key (company),2004-08-10,2006-02-10,Comptiq,2,Kadokawa Shoten
Air Gear,Oh! great,2002-11-06,2012-05-28,Weekly Shōnen Magazine,37,Kodansha
Air Master,Yokusaru_Shibata,NULL,NULL,Young Animal,28,Hakusensha
Aishiteru: Kaiyō,Minoru_Itō,NULL,NULL,Be Love,2,Kodansha
Aishiteruze Baby,Yōko Maki (artist),NULL,NULL,Ribon,7,Shueisha
Aiura,NULL,2011-03-02,2014-04-23,{Monthly Shōnen Ace|Niconico|4-Koma Nano Ace},6,Kadokawa Shoten
Aiyoku no Eustia,August (company),{2011-11-25|2011-12-22},2012-06-20,Monthly Comp Ace,{2|5},{Kadokawa Shoten|Paradigm|Harvest}
Aji Ichi Monme,NULL,NULL,NULL,Big Comic Superior,{21|33},Shogakukan
Ajin: Demi-Human,NULL,NULL,NULL,Good! Afternoon,7,Kodansha
Akaboshi: Ibun Suikoden,Yōichi Amano,2009-04-18,2009-11-02,Weekly Shōnen Jump,3,Shueisha
Akagi (manga),Nobuyuki Fukumoto,NULL,NULL,Kindai_Mahjong,29,Takeshobo
Akaki Chi no Eleven,NULL,NULL,NULL,Weekly_Shōnen_King,21,Shōnen Gahōsha
Akame ga Kill!,NULL,{2010-03-20|2013-10-25},NULL,Gangan Comics,{4|13},Square Enix
Akane-chan,Tetsuya Chiba,NULL,NULL,Shōjo Friend,NULL,Kodansha
Akaneiro ni Somaru Saka,NULL,{2007-12-15|2008-02-29|2008-06-26},2009-06-26,Monthly Comp Ace,2,{Kill Time Communication|Kadokawa Shoten}
Akatsuki-iro no Senpuku Majo,Mera_Hakamada,2006-08-22,2008-04-22,Comic High!,3,{Seven Seas Entertainment|Futabasha}
Akatsuki no Yona: Yona of the Dawn,Mizuho Kusanagi,NULL,NULL,Hana to Yume,19,Hakusensha
Akazukin Chacha,Min Ayahana,NULL,NULL,Ribon,13,Shueisha
Aki Sora,NULL,NULL,NULL,Champion Red,6,Akita Shoten
Akihabara@Deep,Ira Ishida,2005-08-12,2007-05-04,Weekly Comic Bunch,6,{Media Blasters|Coamix}
Akikan!,Riku_Ranjō,{2007-05-24|2008-10-18},NULL,Ultra Jump,10,Shueisha
Akira (manga),Katsuhiro Otomo,1982-12-06,1990-06-11,Weekly Young Magazine,6,Kodansha
Akira No. 2,NULL,NULL,NULL,Young King,6,Shōnen Gahōsha
Akogare,Chieko Hosokawa,1970-05-12,1970-08-08,Bessatsu Friend,5,Kodansha
Akuma-kun,Shigeru Mizuki,NULL,NULL,{Weekly Shōnen Jump|Weekly Shōnen Magazine},3,{Kodansha|Shueisha}
Akuma na Eros,Mayu Shinjo,NULL,NULL,Shōjo Comic,4,Shogakukan
Akumetsu,Yoshiaki_Tabata,NULL,NULL,Weekly Shōnen Champion,18,Akita Shoten
Alabaster (manga),Osamu Tezuka,1970-12-27,1971-06-28,Weekly Shōnen Champion,3,Akita Shoten
Alcohol Shirt and Kiss,Yuko_Kuwabara,2007-03-21,NULL,NULL,1,Libre Publishing
Alderamin on the Sky,NULL,{2012-06-09|2014-05-27},NULL,Dengeki Maoh,7,ASCII Media Works
NULL,NULL,2014-08-11,2015-07-13,NULL,4,Houbunsha
NULL,NULL,2014-12-12,NULL,Manga Time Kirara Forward,2,Houbunsha
NULL,NULL,2015-02-12,NULL,NULL,2,Houbunsha
Alice 19th,Yuu Watase,2001-06-20,NULL,Shōjo Comic,7,Shogakukan
Alice in Borderland,NULL,NULL,NULL,Weekly_Shonen_Sunday_S,14,Shogakukan
Alice in Murderland (manga),Kaori Yuki,2014-01-28,NULL,Aria (magazine),4,Kodansha
Alice in the Country of Hearts,QuinRose,NULL,NULL,{Monthly Comic Zero Sum|Monthly Comic Avarus},{6|7},{Mag Garden|Ichijinsha}
Alice on Deadlines,Shiro_Ihara,2005-03-26,2006-05-27,Gangan Comics,4,Square Enix
Alice the 101st,Chigusa_Kawai,NULL,NULL,NULL,9,Shinshokan
Alichino,Kouyu Shurei,NULL,NULL,NULL,3,{Tokyopop|Madman Entertainment|Shueisha|Home-sha}
Alien Nine,Hitoshi Tomizawa,NULL,NULL,{Champion Red|Young Champion},{1|3},Akita Shoten
Alive: The Final Evolution,Tadashi Kawashima,NULL,NULL,Monthly Shōnen Magazine,21,{Kodansha|Del Rey Manga}
All Esper Dayo!,NULL,NULL,NULL,Weekly Young Magazine,8,Kodansha
All My Darling Daughters,Fumi Yoshinaga,2003-12-19,NULL,NULL,1,Hakusensha
All Nippon Air Line,Kei_Azumaya,2008-02-26,NULL,NULL,1,Magazine_Magazine
All Purpose Cultural Cat Girl Nuku Nuku,Yuzo Takada,NULL,NULL,{Monthly Shōnen Ace|Manga Action},1,{Futabasha|Kadokawa Shoten}
All Rounder Meguru,Hiroki Endo,NULL,NULL,Evening (magazine),17,Kodansha
All You Need Is Kill,Hiroshi Sakurazaka,{2004-12-18|2014-01-09},2014-05-29,Weekly Young Jump,2,Shueisha
Alley of First Love,Ellie_Mamahara,2006-08-25,NULL,NULL,1,{Tokyopop|Tokuma Shoten}
Allison (novel series),Keiichi Sigsawa,{2002-03-10|2007-07-27},2004-05-10,{Dengeki Comic Gao!|Dengeki Daioh},{1|4},{ASCII Media Works|MediaWorks (publisher)}
Alone in My King's Harem,Lily Hoshino,2004-06-10,NULL,NULL,NULL,{Digital Manga|Libre Publishing}
Alpen Rose,Michiyo Akaishi,NULL,NULL,Ciao (magazine),9,Shogakukan
Amagami,Enterbrain,{2009-10-30|2009-11-27|2010-04-30},2014-01-27,{Young Animal|Monthly Comp Ace|Dengeki Maoh},{1|2|3},{Hakusensha|ASCII Media Works|Kadokawa Shoten|Enterbrain}
Amagi Brilliant Park,Shoji Gatoh,{2013-02-20|2014-10-20},NULL,Monthly Dragon Age,{2|3|6},{Kadokawa Corporation|Fujimi Shobo}
Amai Seikatsu,Hikaru_Yuzuki,NULL,NULL,{Business Jump|Grand Jump},{7|40},Shueisha
Amakusa 1637,Michiyo Akaishi,NULL,NULL,Flowers (magazine),12,NULL
Amanchu!,Kozue Amano,2008-11-29,NULL,Monthly Comic Blade,9,Mag Garden
Amatsuki,Shinobu_Takayama,NULL,NULL,Monthly Comic Zero Sum,20,Ichijinsha
Ambassador Magma,Osamu Tezuka,NULL,NULL,Shōnen_Gaho,3,Shōnen Gahōsha
Amefurashi,Atsushi Suzumi,NULL,NULL,Monthly Shōnen Sirius,2,{Kodansha|Del Rey Manga}
Amnesia Labyrinth,Nagaru Tanigawa,2008-06-10,2009-12-18,Dengeki Bunko Magazine,2,ASCII Media Works
Amon: The Darkside of The Devilman,Go Nagai,NULL,NULL,Monthly Magazine Z,6,Kodansha
Amuri in Star Ocean,Yoshitomo Yonetani,2007-11-21,NULL,Dengeki Daioh,1,MediaWorks (publisher)
Anata to Scandal,Ayumi Shiina,NULL,NULL,Ribon,5,Shueisha
And Yet the Town Moves,Masakazu_Ishiguro,2005-03-30,NULL,Young King OURs,14,Shōnen Gahōsha
Andante (manga),Miho Obana,NULL,NULL,Ribon,3,Shueisha
Andromeda Stories,Ryu Mitsuse,NULL,NULL,NULL,3,{Asahi Sonorama|Kodansha}
Ane no Kekkon,Keiko Nishi,NULL,NULL,Flowers (magazine),8,Shogakukan
Anedoki,Mizuki Kawashita,2009-07-08,2010-01-18,Weekly Shōnen Jump,3,Shueisha
Ange Vierge,NULL,NULL,NULL,Monthly Dragon Age,2,Fujimi Shobo
Angel's Hill,Osamu Tezuka,NULL,NULL,Nakayoshi,2,Kodansha
Angel/Dust,Aoi Nanase,NULL,NULL,Monthly Newtype,1,{A.D. Vision|Kadokawa Shoten}
Angel/Dust Neo,Aoi Nanase,NULL,NULL,Monthly Newtype,1,{A.D. Vision|Kadokawa Shoten}
Angel (manga),U-Jin,NULL,NULL,{Weekly Young Sunday|Weekly Manga Goraku},{5|7},{Shogakukan|Nihon Bungeisha|Cybele_Publishing}
Angel Beats!,Jun Maeda,NULL,NULL,{Dengeki G's Magazine|Dengeki G's Comic},{1|4|9},ASCII Media Works
NULL,Taku Kitazaki,NULL,NULL,Monthly Newtype,1,Kadokawa Shoten
Angel Densetsu,Norihiro Yagi,NULL,NULL,Monthly Shōnen Jump,15,Shueisha
Angel Gunfighter,Osamu Tezuka,1949-04-20,NULL,NULL,NULL,Tokodo
Angel Heart (manga),Tsukasa Hojo,{2001-05-15|2010-10-25},2010-08-27,{Weekly Comic Bunch|Monthly Comic Zenon},{12|33},{Shinchosha|Tokuma Shoten}
NULL,NULL,NULL,NULL,NULL,4,Fujimi Shobo
NULL,Takehiko Itō,1999-01-12,NULL,NULL,1,Kadokawa Shoten
Angel Lip,Kiyoko Arai,1996-09-10,1999-10-10,Ciao (magazine),9,Shogakukan
Angel Nest,Erica Sakurazawa,2001-02-22,NULL,Feel Young,1,Shodensha
Angel Sanctuary,Kaori Yuki,NULL,NULL,Hana to Yume,20,Hakusensha
Angelic Layer,Clamp (manga artists),1999-07-01,2001-10-01,Monthly Shōnen Ace,5,Kadokawa Shoten
Angelic Runes,Makoto Tateno,2007-04-20,2009-05-25,NULL,3,Shodensha
NULL,NULL,2001-08-30,2002-07-30,NULL,2,NULL
Ani - Imo,NULL,2012-07-07,2014-08-12,Aria (magazine),7,Kodansha
Animal Academy: Hakobune Hakusho,Moyamu Fujino,2005-10-30,2008-04-30,Monthly Comic Blade,7,Mag Garden
Animal Land,Makoto Raiku,2009-10-09,2014-02-09,Bessatsu Shōnen Magazine,14,Kodansha
Animal Yokochō,Ryō_Maekawa,NULL,NULL,Ribon,15,Shueisha
Anmitsu Hime,{Shosuke Kurakane|Izumi Takemoto},NULL,NULL,{Nakayoshi|Shōjo_(magazine)},4,{Kodansha|Kobunsha}
Ann Cassandra,NULL,2008-04-04,NULL,Monthly Shōnen Rival,2,Kodansha
Anne Freaks,Yua_Kotegawa,NULL,NULL,Monthly Shōnen Ace,4,Kadokawa Shoten
Ano Ko ni 1000%,Miyuki Kitagawa,NULL,NULL,Shogakukan,5,Shogakukan
Anohana: The Flower We Saw That Day,Mari Okada,{2012-04-04|2013-09-04},NULL,Jump Square,{2|3},{Shueisha|Media Factory}
Another (novel),Yukito Ayatsuji,{2009-10-29|2013-07-31},NULL,Young Ace,5,Kadokawa Shoten
Anpanman,Takashi Yanase,NULL,NULL,NULL,NULL,NULL
Anti-Magic Academy: The 35th Test Platoon,NULL,{2012-05-19|2012-11-09},2014-05-09,{Monthly Comic Alive|Monthly Dragon Age},{3|11},{Media Factory|Fujimi Shobo}
Antique Bakery,Fumi Yoshinaga,NULL,NULL,Wings (magazine),4,Shinshokan
NULL,NULL,NULL,NULL,Ribon,NULL,Shueisha
Ao Oni,NULL,{2013-02-25|2014-07-01},2013-06-14,NULL,{1|3},NULL
Ao no Fūin,{Chie Shinohara|Natsumi_Yamamoto},NULL,NULL,Shōjo Comic,{3|11},{Shogakukan|KSS (company)}
Aoharu x Machinegun,NULL,NULL,NULL,Gangan Comics,7,Square Enix
Aoi-chan Panic!,Izumi Takemoto,NULL,NULL,Nakayoshi,{2|3|4},{Kodansha|Media Factory|Oozora_Shuppan}
Aoi Honō,Kazuhiko Shimamoto,NULL,NULL,{Weekly Young Sunday|Monthly Shōnen Sunday},14,Shogakukan
Aokana: Four Rhythm Across the Blue,NULL,NULL,NULL,Monthly Comp Ace,1,Kadokawa Corporation
Aoki Densetsu Shoot!,Tsukasa_Ooshima,NULL,NULL,Weekly Shōnen Magazine,33,Kodansha
Apocalypse Meow,Motofumi Kobayashi,NULL,NULL,NULL,4,Softbank_Publishing
Apocalypse Zero,Takayuki Yamaguchi (artist),NULL,NULL,Weekly Shōnen Champion,11,Akita Shoten
Apocrypha Getter Robot Dash,{Ken Ishikawa|Go Nagai},2008-07-26,2014-11-28,{Monthly Magazine Z|Young Animal Arashi},4,{Hakusensha|Kodansha}
Apollo's Song,Osamu Tezuka,1970-04-26,1970-11-22,Weekly_Shōnen_King,1,Shōnen Gahōsha
Apothecarius Argentum,Tomomi_Yamashita,NULL,NULL,Princess (magazine),11,{CMX (comics)|Akita Shoten}
Appare Jipangu!,Yuu Watase,NULL,NULL,Shōjo Comic,3,Shogakukan
Appleseed (manga),Masamune Shirow,1985-02-15,1989-04-15,NULL,4,{Kodansha|Media Factory|Tankōbon}
Aqua Bless,NULL,NULL,NULL,Comic_Tenma,1,Akane Shinsha
Aqua Knight,Yukito Kishiro,1998-03-20,NULL,Ultra Jump,3,{Viz Media|Shueisha}
NULL,NULL,2012-04-25,2012-12-12,NULL,4,MF Bunko J
NULL,NULL,2012-01-14,NULL,Monthly Comic Gene,3,Media Factory
Aquarium (manga),Tomoko Taniguchi,NULL,NULL,My_Birthday,1,Jitsugyo no Nihon Sha
Arago (manga),Takahiro Arai,2009-12-23,2011-09-21,Weekly Shōnen Sunday,9,Shogakukan
Arakawa Under the Bridge,Hikaru Nakamura (artist),NULL,2015-07-03,Gangan Comics,14,Square Enix
Arashi no Yoru ni,Yūichi_Kimura,NULL,NULL,NULL,NULL,Kodansha
Arata-naru Sekai,NULL,2012-10-20,NULL,NULL,NULL,NULL
Arata: The Legend,Yuu Watase,NULL,NULL,Weekly Shōnen Sunday,24,Shogakukan
NULL,NULL,NULL,NULL,Gangan Comics,NULL,Enix
NULL,NULL,NULL,NULL,NULL,4,Enix
NULL,NULL,NULL,NULL,Gangan Comics,10,Enix
Arcade Gamer Fubuki,Mine Yoshizaki,2002-03-25,NULL,Monthly Asuka,6,Enterbrain
Arcana (manga),Yua_Kotegawa,NULL,NULL,Weekly Young Jump,2,Shueisha
Area 88,Kaoru Shintani,NULL,NULL,Shōnen Big Comic,23,Shogakukan
Arei no Kagami,Leiji Matsumoto,1985-05-01,NULL,NULL,1,NULL
Aria (manga),Kozue Amano,2002-11-10,NULL,Monthly Comic Blade,{2|12},{Enix|Mag Garden}
Aria the Scarlet Ammo,NULL,{2008-08-25|2009-09-26|2010-11-05},NULL,{Gangan Comics|Monthly Comic Alive},{8|10|21},{Square Enix|Media Factory}
Ariel (anime),Yūichi Sasamoto,NULL,NULL,Shishiō,20,Asahi Sonorama
Arigatō (manga),Naoki Yamamoto,NULL,NULL,Big Comic Spirits,4,Shogakukan
Arion (manga),Yoshikazu Yasuhiko,NULL,NULL,Monthly Comic Ryū,5,Tokuma Shoten
Arisa (manga),Natsumi Ando,NULL,NULL,Nakayoshi,12,Kodansha
Arist Craisi,NULL,2013-03-30,NULL,NULL,3,Enterbrain
Arm of Kannon,Masakazu Yamaguchi,NULL,NULL,Comic Birz,9,Gentosha
NULL,NULL,2009-01-17,NULL,NULL,NULL,Hobby Japan
NULL,NULL,NULL,NULL,Comic BomBom,4,Kodansha
Arpeggio of Blue Steel,NULL,{2009-09-30|2014-10-16},NULL,Young King OURs,9,Shōnen Gahōsha
Artist Acro,Ato_Sakurai,NULL,NULL,Weekly Shōnen Sunday,9,Shogakukan
Aruvu Rezuru: Kikaijikake no Yōseitachi,NULL,NULL,NULL,BOX-AiR,NULL,Kodansha
Asahinagu,NULL,2011-04-28,NULL,Big Comic Spirits,16,Shogakukan
Asaoka High School Baseball Club Diary: Over Fence,Mitsuru Adachi,2011-04-27,NULL,Weekly Shōnen Sunday,NULL,Shogakukan
Asari-chan,Mayumi Muroyama,NULL,NULL,NULL,100,Shogakukan
