id,player_class,type,name,set,text,cost,attack,health,rarity,collectible,flavor,mechanics,dust,play_requirements,race,how_to_earn,how_to_earn_golden,targeting_arrow_text,faction,durability,entourage
LOEA09_2e,NEUTRAL,ENCHANTMENT,Enraged,LOE,+2 Attack,,,,,,,['TAG_ONE_TURN_EFFECT'],,,,,,,,,
CRED_15,NEUTRAL,MINION,Andy Brock,CREDITS,"Can't be <b>Silenced. Divine Shield, Stealth.</b>",1,1,3,LEGENDARY,,,,,,,,,,,,
CFM_621_m2,NEUTRAL,MINION,Kabal Demon,GANGS,,5,5,5,,,,,,,DEMON,,,,,,
EX1_570e,NEUTRAL,ENCHANTMENT,Bite,EXPERT1,+4 Attack this turn.,,,,,,,['TAG_ONE_TURN_EFFECT'],,,,,,,,,
TB_Coopv3_100,NEUTRAL,MINION,Dragonscale Warrior,TB,"Whenever any player targets this minion with a spell, that player draws a card.",3,3,4,,,,,,,,,,,,,
GVG_069,NEUTRAL,MINION,Antique Healbot,GVG,<b>Battlecry:</b> Restore 8 Health to your hero.,5,3,3,COMMON,True,"They don't make 'em like they used to! (Because of explosions, mostly.)",['BATTLECRY'],"[40, 400, 5, 50]",,MECHANICAL,,,,,,
NEW1_018e,NEUTRAL,ENCHANTMENT,Treasure Crazed,EXPERT1,Increased Attack.,,,,,,,,,,,,,,,,
CRED_27,NEUTRAL,MINION,Henry Ho,CREDITS,<b>Battlecry:</b> Spectate your opponent's hand.,3,3,4,LEGENDARY,,,,,,,,,,,,
hexfrog,NEUTRAL,MINION,Frog,CORE,<b>Taunt</b>,0,0,1,COMMON,,,['TAUNT'],,,BEAST,,,,,,
OG_101,PRIEST,SPELL,Forbidden Shaping,OG,Spend all your Mana. Summon a random minion that costs that much.,0,,,EPIC,True,But the minion arrives covered in goo.,,"[400, 1600, 100, 400]",,,,,,,,
CS2_094,PALADIN,SPELL,Hammer of Wrath,CORE,"Deal 3 damage.
Draw a card.",4,,,FREE,True,"A good paladin has many tools.  Hammer of Wrath, Pliers of Vengeance, Hacksaw of Justice, etc.",,,{'REQ_TARGET_TO_PLAY': 0},,Unlocked at Level 1.,Unlocked at Level 32.,,,,
TB_SPT_DPromoHP,,HERO_POWER,Diabolical Powers,TB,Summon a random Imp.,2,,,,,,,,{'REQ_MINION_TARGET': 0},,,,,,,
GVG_072,PRIEST,MINION,Shadowboxer,GVG,"Whenever a character is healed, deal 1 damage to a random enemy.",2,2,3,RARE,True,"Punching is its primary function. Also, its secondary function.",,"[100, 800, 20, 100]",,MECHANICAL,,,,,,
CFM_621t15,NEUTRAL,SPELL,Kazakus Potion,GANGS,"{0}
{1}",10,,,,,,,,,,,,,,,
EX1_093e,NEUTRAL,ENCHANTMENT,Hand of Argus,EXPERT1,+1/+1 and <b>Taunt</b>.,,,,,,,,,,,,,,,,
EX1_531e,HUNTER,ENCHANTMENT,Well Fed,EXPERT1,Increased Attack and Health.,,,,,,,,,,,,,,,,
OG_145,NEUTRAL,MINION,Psych-o-Tron,OG,"<b>Taunt</b>.
<b>Divine Shield</b>",5,3,4,COMMON,True,"""Annoyinger-o-Tron"" was just too unwieldy. And accurate.","['DIVINE_SHIELD', 'TAUNT']","[40, 400, 5, 50]",,MECHANICAL,,,,,,
AT_069e,WARRIOR,ENCHANTMENT,Training Complete,TGT,<b>Taunt</b>,,,,,,,,,,,,,,,,
OG_313,DRUID,MINION,Addled Grizzly,OG,"After you summon a minion, give it +1/+1.",3,2,2,RARE,True,"Druids who spend too long in bear form are more susceptible to the whispers of the Old Gods.  Right now they are whispering the lyrics to ""La Bamba"".",,"[100, 800, 20, 100]",,BEAST,,,,,,
TB_KTRAF_2s,NEUTRAL,MINION,Sir Zeliek,TB,Lady Blaumeux is <b>Immune</b>.,4,1,5,LEGENDARY,,,,,,,,,,,,
AT_090,NEUTRAL,MINION,Mukla's Champion,TGT,<b>Inspire:</b> Give your other minions +1/+1.,5,4,3,COMMON,True,"An elegant gorilla, for a more civilized age.",['INSPIRE'],"[40, 400, 5, 50]",,BEAST,,,,,,
NAX9_07,NEUTRAL,SPELL,Mark of the Horsemen,NAXX,Give your minions and your weapon +1/+1.,5,,,,,,,,,,,,,,,
KARA_00_01H,NEUTRAL,HERO,Prince Malchezaar,KARA,,,,60,,,,,,,,,,,,,
BRMA15_3,NEUTRAL,SPELL,Release the Aberrations!,BRM,Summon 3 Aberrations.,2,,,,,,,,{'REQ_NUM_MINION_SLOTS': 1},,,,,,,
KAR_035,PRIEST,MINION,Priest of the Feast,KARA,"Whenever you cast a spell, restore 3 Health to
your hero.",4,3,6,COMMON,True,Now that's a world champion cheesecake!,,"[40, 400, 5, 50]",,,"Unlocked in the Parlor, in One Night in Karazhan.","Crafting unlocked in the Parlor, in One Night in Karazhan.",,,,
BRM_027pH,NEUTRAL,HERO_POWER,"DIE, INSECTS!",BRM,"<b>Hero Power</b>
Deal 8 damage to a random enemy. TWICE.",2,,,,,,,,,,,,,,,
AT_060,HUNTER,SPELL,Bear Trap,TGT,"<b>Secret:</b> After your hero is attacked, summon a 3/3 Bear with <b>Taunt</b>.",2,,,COMMON,True,"You'll never guess what's in that conveniently bear-sized, bear-smelling box.",['SECRET'],"[40, 400, 5, 50]",,,,,,,,
EX1_584e,NEUTRAL,ENCHANTMENT,Teachings of the Kirin Tor,EXPERT1,<b>Spell Damage +1</b>.,,,,,,,,,,,,,,,,
BRMA12_10,NEUTRAL,HERO_POWER,Mutation,BRM,"<b>Hero Power</b>
Discard a random card.",1,,,,,,,,,,,,,,,
CS2_087e,PALADIN,ENCHANTMENT,Blessing of Might,CORE,+3 Attack.,,,,,,,,,,,,,,,,
TB_MechWar_Minion1,NEUTRAL,MINION,Mech Fan,TB,<b>Taunt</b>,2,1,1,,,,['TAUNT'],,,,,,,,,
GVG_056t,WARRIOR,SPELL,Burrowing Mine,GVG,"When you draw this, it explodes. You take 10 damage and draw a card.",0,,,,,,"['TOPDECK', 'ImmuneToSpellpower']",,,,,,,,,
OG_080de,NEUTRAL,ENCHANTMENT,Fadeleaf,OG,Stealthed until your next turn.,,,,,,,,,,,,,,,,
NEW1_027e,NEUTRAL,ENCHANTMENT,Yarrr!,EXPERT1,Southsea Captain is granting +1/+1.,,,,,,,,,,,,,,,,
NAX13_04H,NEUTRAL,MINION,Feugen,NAXX,,5,4,7,LEGENDARY,,,,"[1600, 3200, 400, 1600]",,,,,,,,
XXX_099,NEUTRAL,MINION,AI Helper Buddy,CHEAT,Get the AI ready for testing.,0,1,1,,,,,,,,,,,,,
TB_CoOpv3_104e,NEUTRAL,ENCHANTMENT,Unity,TB,+2/+2,,,,,,,,,,,,,,,,
GVG_115,NEUTRAL,MINION,Toshley,GVG,<b>Battlecry and Deathrattle:</b> Add a <b>Spare Part</b> card to your hand.,6,5,7,LEGENDARY,True,Something about power converters.,"['BATTLECRY', 'DEATHRATTLE']","[1600, 3200, 400, 1600]",,,,,,,,
CFM_602,DRUID,SPELL,Jade Idol,GANGS,<b>Choose One -</b> Summon a{1} {0} <b>Jade Golem</b>; or Shuffle 3 copies of this card into your deck.,1,,,RARE,True,Shuffle or no guts.,"['CHOOSE_ONE', 'JADE_GOLEM']","[100, 800, 20, 100]",,,,,,,,
CS2_141,NEUTRAL,MINION,Ironforge Rifleman,CORE,<b>Battlecry:</b> Deal 1 damage.,3,2,2,COMMON,True,"""Ready! Aim! Drink!""",['BATTLECRY'],,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_NONSELF_TARGET': 0}",,,Unlocked at Mage Level 55.,Deal 1 damage.,ALLIANCE,,
BRMA12_4H,NEUTRAL,SPELL,Brood Affliction: Green,BRM,"While this is in your hand, restore 6 health to your opponent at the start of your turn.",3,,,,,,['EVIL_GLOW'],,,,,,,,,
CFM_312,SHAMAN,MINION,Jade Chieftain,GANGS,<b>Battlecry:</b> Summon a{1} {0} <b>Jade Golem</b>. Give it <b>Taunt</b>.,7,5,5,COMMON,True,"Seeing his Jade Golem grow up into the tall, handsome 6/6 standing before him was the proudest moment of his life.","['BATTLECRY', 'JADE_GOLEM']","[40, 400, 5, 50]",,,,,,,,
NAX12_01,NEUTRAL,HERO,Gluth,NAXX,,,,30,,,,,,,,,,,,,
CS2_063,WARLOCK,SPELL,Corruption,CORE,"Choose an enemy minion. At the start of your turn, destroy it.",1,,,COMMON,True,"It starts with stealing a pen from work, and before you know it, BOOM!  Corrupted!",,,"{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0, 'REQ_ENEMY_TARGET': 0}",,Unlocked at Level 2.,Unlocked at Level 32.,,,,
AT_132_WARLOCK,WARLOCK,HERO_POWER,Soul Tap,TGT,"<b>Hero Power</b>
Draw a card.",2,,,,,,,,,,,,,,,
LOEA09_6H,NEUTRAL,MINION,Slithering Archer,LOE,<b>Battlecry:</b> Deal 2 damage to all enemy minions.,2,2,2,,,,['BATTLECRY'],,,,,,,,,
EX1_383,PALADIN,MINION,Tirion Fordring,EXPERT1,<b>Divine Shield</b>. <b>Taunt</b>. <b>Deathrattle:</b> Equip a 5/3�Ashbringer.,8,6,6,LEGENDARY,True,"If you haven't heard the Tirion Fordring theme song, it's because it doesn't exist.","['DEATHRATTLE', 'DIVINE_SHIELD', 'TAUNT']","[1600, 3200, 400, 1600]",,,,,,,,
LOEA07_12,NEUTRAL,MINION,Earthen Pursuer,LOE,,5,4,6,,,,,,,,,,,,,
CFM_755,WARRIOR,MINION,Grimestreet Pawnbroker,GANGS,<b>Battlecry:</b> Give a random weapon in your hand +1/+1.,3,3,3,RARE,True,"""I don't know a lot about used GvG cards, so I'm going to have to call in an expert.""",['BATTLECRY'],"[100, 800, 20, 100]",,,,,,,,
AT_077,PALADIN,WEAPON,Argent Lance,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, +1 Durability.",2,2,,RARE,True,"The stripes make it look like a candy cane, but we recommend against licking it.",['BATTLECRY'],"[100, 800, 20, 100]",,,,,,,2,
LOEA04_01h,NEUTRAL,HERO,Temple Escape,LOE,,,,100,,,,,,,,,,,,,
GVG_055e,WARRIOR,ENCHANTMENT,Screwy Jank,GVG,+2/+2.,,,,,,,,,{'REQ_FRIENDLY_TARGET': 0},,,,,,,
NAX9_05H,NEUTRAL,WEAPON,Runeblade,NAXX,Has +6 Attack if the other Horsemen are dead.,3,2,,,,,,,,,,,,,3,
EX1_366,PALADIN,WEAPON,Sword of Justice,EXPERT1,"After you summon a minion, give it +1/+1 and this loses 1�Durability.",3,1,,EPIC,True,I dub you Sir Loin of Beef!,,"[400, 1600, 100, 400]",,,,,,,5,
KAR_A02_09e,NEUTRAL,ENCHANTMENT,Table Set,KARA,+1/+1.,,,,,,,,,,,,,,,,
AT_085,NEUTRAL,MINION,Maiden of the Lake,TGT,Your Hero Power costs (1).,4,2,6,COMMON,True,Not a good basis for a system of government.,['AURA'],"[40, 400, 5, 50]",,,,,,,,
EX1_614t,NEUTRAL,MINION,Flame of Azzinoth,EXPERT1,,1,2,1,,,,,,,,,,,,,
TBST_006,NEUTRAL,ENCHANTMENT,OLDTBST Push Common Card,TB,push a common card into player's hand,,,,,,,,,,,,,,,,"['TBST_003', 'TBST_002', 'TBST_001']"
TB_GiftExchange_Snowball,NEUTRAL,SPELL,Hardpacked Snowballs,TB,Return 3 random enemy minions to your opponent's hand.,0,,,,,,,,,,,,,,,
EX1_tk34,WARLOCK,MINION,Infernal,EXPERT1,,6,6,6,COMMON,,,,"[40, 400, 5, 50]",,DEMON,,,,,,
TB_006e,NEUTRAL,ENCHANTMENT,Big Banana,TB,Has +2/+2.,,,,,,,,,,,,,,,,
LOEA16_22,NEUTRAL,MINION,Archaedas,LOE,"At the end of your turn, turn a random enemy minion into a 0/2 Statue.",5,5,5,LEGENDARY,,,,"[1600, 3200, 400, 1600]",,,,,,,,
TB_014,NEUTRAL,SPELL,Choose a New Card!,TB,Look at 3 random cards. Choose one and put it into your hand.,0,,,,,,,,,,,,,,,
CS2_064,WARLOCK,MINION,Dread Infernal,CORE,<b>Battlecry:</b> Deal 1 damage to ALL other characters.,6,6,6,COMMON,True,"""INFERNOOOOOOOOOO!"" - Jaraxxus, Eredar Lord of the Burning Legion",['BATTLECRY'],,,DEMON,Unlocked at Level 10.,Unlocked at Level 23.,,,,
EX1_613e,ROGUE,ENCHANTMENT,VanCleef's Vengeance,EXPERT1,Increased stats.,,,,,,,,,,,,,,,,
TB_006,NEUTRAL,SPELL,Big Banana,TB,Give a minion +2/+2.,1,,,,,,,,"{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
LOEA09_11,NEUTRAL,MINION,Hungry Naga,LOE,,3,1,1,,,,,,,,,,,,,
CS2_213,NEUTRAL,MINION,Reckless Rocketeer,CORE,<b>Charge</b>,6,5,2,FREE,True,One Insane Rocketeer.   One Rocket full of Explosives.   Infinite Fun.,['CHARGE'],,,,,Unlocked at Shaman Level 59.,,HORDE,,
KAR_A10_04,NEUTRAL,MINION,White Rook,KARA,<b>Auto-Attack:</b> Deal 2 damage to the enemies opposite this minion.,3,2,6,,,,['AUTOATTACK'],,,,,,,,,
KARA_09_01,NEUTRAL,HERO,Terestian Illhoof,KARA,,,,30,,,,,,,,,,,,,
FP1_014t,NEUTRAL,MINION,Thaddius,NAXX,,10,11,11,LEGENDARY,,,,"[1600, 3200, 400, 1600]",,,,,,,,
CS2_062,WARLOCK,SPELL,Hellfire,CORE,Deal 3 damage to ALL�characters.,4,,,FREE,True,It's spells like these that make it hard for Warlocks to get decent help.,,,,,Unlocked at Level 1.,Unlocked at Level 49.,,,,
CRED_37,NEUTRAL,MINION,Ricardo Robaina,CREDITS,<b>Battlecry:</b> Summon three 1/1 Chinchillas.,4,3,4,LEGENDARY,,,,,,,,,,,,
CFM_671e,NEUTRAL,ENCHANTMENT,We All Scream,GANGS,+2/+2.,,,,,,,,,,,,,,,,
OG_241a,WARLOCK,MINION,Shadowbeast,OG,,1,1,1,,,,,,,,,,,,,
CFM_712_t04,NEUTRAL,MINION,Jade Golem,GANGS,,4,4,4,,,,['JADE_GOLEM'],,,,,,,,,
CFM_621t21,NEUTRAL,SPELL,Mystic Wool,GANGS,Transform a random enemy minion into a 1/1 Sheep.,5,,,,,,,,{'REQ_MINIMUM_TOTAL_MINIONS': 1},,,,,,,
CFM_602a,DRUID,SPELL,Jade Idol,GANGS,Summon a{1} {0} <b>Jade Golem</b>.,0,,,,,,['JADE_GOLEM'],,,,,,,,,
AT_019,WARLOCK,MINION,Dreadsteed,TGT,<b>Deathrattle:</b> Summon a Dreadsteed.,4,1,1,EPIC,True,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",['DEATHRATTLE'],"[400, 1600, 100, 400]",,DEMON,,,,,,
EX1_162,NEUTRAL,MINION,Dire Wolf Alpha,EXPERT1,Adjacent minions have +1�Attack.,2,2,2,COMMON,True,"We are pretty excited about the upcoming release of Dire Wolf Beta, just repost this sign for a chance at a key.","['ADJACENT_BUFF', 'AURA']","[40, 400, 5, 50]",,BEAST,,,,,,
CFM_751,WARLOCK,MINION,Abyssal Enforcer,GANGS,<b>Battlecry:</b> Deal 3 damage to all other characters.,7,6,6,COMMON,True,The Kabal print this on every package of illicit Mana Crystals: WARNING - DO NOT PUT WITHIN REACH OF ABYSSALS. THIS IS NOT APPROVED FOR USE BY FLAMING DEMONS OF ANY KIND.,['BATTLECRY'],"[40, 400, 5, 50]",,DEMON,,,,,,
TU4a_001,NEUTRAL,HERO,Hogger,MISSIONS,,,,10,COMMON,,,,,,,,,,,,
BRM_005,WARLOCK,SPELL,Demonwrath,BRM,Deal 2 damage to all non-Demon minions.,3,,,RARE,True,Demons are not angry most of the time. You have to play this card in order to really bring it out of them.,,"[100, 800, 20, 100]",,,"Unlocked in Blackwing Lair, in the Blackrock Mountain adventure.","Crafting unlocked in Blackwing Lair, in the Blackrock Mountain adventure.",,,,
CFM_336e,NEUTRAL,ENCHANTMENT,Smuggling,GANGS,+2/+2 from Shaky Zipgunner.,,,,,,,,,,,,,,,,
LOEA02_06,NEUTRAL,SPELL,Wish for More Wishes,LOE,Gain 2 Wishes.,0,,,,,,,,,,,,,,,
OG_200e,NEUTRAL,ENCHANTMENT,Doom Free,OG,Attack set to 7.,,,,,,,,,,,,,,,,
